date,year,month,week_of_year,day_of_week,day_name,is_weekend,daily_avg_price,daily_min_price,daily_max_price,daily_std_price,daily_median_price,daily_peak_avg,daily_offpeak_avg,daily_night_avg,daily_evening_avg,trading_periods,daily_price_range,peak_offpeak_spread,daily_avg_change_pct,daily_max_change_pct,avg_price_rolling_7d,avg_price_rolling_30d,volatility_rolling_7d,volatility_rolling_30d,is_above_30d_avg,is_extreme_high_day,is_extreme_low_day,year_month
2024-08-11,2024,8,32,6,Sunday,True,69.2225,0.0,136.29,54.18533816208154,99.75,,69.2225,69.2225,,24,136.29,,-2.992543457570118,6.835462883123,93.84613095238095,84.55238888888888,27.471941195927148,27.58536060188332,False,False,False,2024-08
2024-08-12,2024,8,33,0,Monday,False,105.80916666666667,80.1,136.13,18.50170636470585,110.05,,105.80916666666667,105.80916666666667,,24,56.03,,52.85372049068826,-0.11739672756622133,93.27255952380952,86.36281944444445,27.154474342748447,26.877963544796433,True,False,False,2024-08
2024-08-13,2024,8,33,1,Tuesday,False,106.37166666666667,80.05,130.48,15.452604864599664,110.0,,106.37166666666667,106.37166666666667,,24,50.42999999999999,,0.5316174559545139,-4.150444428120181,93.38880952380953,88.15815277777777,26.96720832321078,25.82716627777462,True,False,False,2024-08
2024-08-14,2024,8,33,2,Wednesday,False,89.0525,60.0,115.02,20.043166297204426,93.905,,89.0525,89.0525,,24,55.019999999999996,,-16.281747959199667,-11.848559166155725,92.18845238095238,89.328125,27.584509326476102,25.335155461422385,False,False,False,2024-08
2024-08-15,2024,8,33,3,Thursday,False,44.290416666666665,0.0,117.13,40.13160388339373,61.28,,44.290416666666665,44.290416666666665,,24,117.13,,-50.26482505638059,1.834463571552769,84.06047619047618,87.89633333333335,31.132943240645535,25.979108593572313,False,False,False,2024-08
2024-08-16,2024,8,33,4,Friday,False,88.2275,50.72,129.78,25.497191874366493,95.285,,88.2275,88.2275,,24,79.06,,99.20223524652627,10.799965849910365,82.04738095238096,87.68984722222223,32.32642243704684,26.220778090304428,True,False,False,2024-08
2024-08-17,2024,8,33,5,Saturday,True,83.21375,34.72,120.0,29.341051937589896,95.32,,83.21375,83.21375,,24,85.28,,-5.682751976424583,-7.535829865926957,83.74107142857143,87.08479166666666,29.021809054848802,26.673763270173865,False,False,False,2024-08
2024-08-18,2024,8,33,6,Sunday,True,55.59583333333333,0.0,119.5,46.92241810706789,69.665,,55.59583333333333,55.59583333333333,,24,119.5,,-33.18912639637881,-0.4166666666666652,81.79440476190476,85.67858333333334,27.984249046989703,27.72991908206433,False,False,False,2024-08
2024-08-19,2024,8,34,0,Monday,False,93.71625,67.1,157.48,25.594217725460194,81.16,,93.71625,93.71625,,24,90.38,,68.56703889679983,31.78242677824268,80.06684523809524,87.08484722222221,28.9974649556689,27.10234902401333,True,True,False,2024-08
2024-08-20,2024,8,34,1,Tuesday,False,95.6225,60.0,125.08,25.54301559432977,108.32,,95.6225,95.6225,,24,65.08,,2.0340655969482313,-20.57404114808229,78.53125,89.25804166666667,30.4389522027732,26.862069670198984,True,False,False,2024-08
2024-08-21,2024,8,34,2,Wednesday,False,80.67125,5.22,165.01,40.85211136180591,80.285,,80.67125,80.67125,,24,159.79,,-15.635702894193315,31.92356891589383,77.33392857142857,89.29606944444443,33.411658640573414,27.473429989085908,False,True,False,2024-08
