ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-13,64.16980992568548,53.0651246119012,118.71043090552715,64.16980992568548,64.16980992568548,22.35013330501065,22.35013330501065,22.35013330501065,6.302568845851986,6.302568845851986,6.302568845851986,16.047564459158664,16.047564459158664,16.047564459158664,0.0,0.0,0.0,86.51994323069613
2023-12-14,64.02607023363146,53.235406290032195,118.3276669589918,64.02607023363146,64.02607023363146,21.147722244840903,21.147722244840903,21.147722244840903,5.710745837867534,5.710745837867534,5.710745837867534,15.436976406973365,15.436976406973365,15.436976406973365,0.0,0.0,0.0,85.17379247847236
2023-12-15,63.88233054157743,50.35501049578022,115.60102617230987,63.88233054157743,63.88233054157743,17.718354001891278,17.718354001891278,17.718354001891278,2.7691236599274416,2.7691236599274416,2.7691236599274416,14.949230341963839,14.949230341963839,14.949230341963839,0.0,0.0,0.0,81.6006845434687
2023-12-16,63.7385908495234,33.355541783592436,100.67928996030608,63.7385908495234,63.7385908495234,5.027375927050382,5.027375927050382,5.027375927050382,-9.556845680270943,-9.556845680270943,-9.556845680270943,14.584221607321325,14.584221607321325,14.584221607321325,0.0,0.0,0.0,68.76596677657378
2023-12-17,63.59485115746938,29.752264470726413,94.8324613460896,63.59485115746938,63.59485115746938,-3.746820420719869,-3.746820420719869,-3.746820420719869,-18.084414818622776,-18.084414818622776,-18.084414818622776,14.337594397902908,14.337594397902908,14.337594397902908,0.0,0.0,0.0,59.84803073674951
2023-12-18,63.45111146541535,48.755692929888454,115.82621343414982,63.45111146541535,63.45111146541535,18.08401013255568,18.08401013255568,18.08401013255568,3.883081394967452,3.883081394967452,3.883081394967452,14.200928737588232,14.200928737588232,14.200928737588232,0.0,0.0,0.0,81.53512159797103
2023-12-19,63.307371773361325,52.08088291483559,120.6755678803206,63.307371773361325,63.307371773361325,23.137778943024188,23.137778943024188,23.137778943024188,8.975740760309243,8.975740760309243,8.975740760309243,14.162038182714946,14.162038182714946,14.162038182714946,0.0,0.0,0.0,86.44515071638551
2023-12-20,63.1636320813073,51.9160912638387,114.478828662834,63.1636320813073,63.1636320813073,20.507939537994268,20.507939537994268,20.507939537994268,6.302568845860934,6.302568845860934,6.302568845860934,14.205370692133332,14.205370692133332,14.205370692133332,0.0,0.0,0.0,83.67157161930157
2023-12-21,63.01989238925328,50.29884416373419,116.69847927197843,63.01989238925328,63.01989238925328,20.023248177459003,20.023248177459003,20.023248177459003,5.710745837874025,5.710745837874025,5.710745837874025,14.312502339584979,14.312502339584979,14.312502339584979,0.0,0.0,0.0,83.04314056671228
2023-12-22,62.87615269719925,47.46866500431185,113.72603700165966,62.87615269719925,62.87615269719925,17.231834689318664,17.231834689318664,17.231834689318664,2.7691236599321676,2.7691236599321676,2.7691236599321676,14.462711029386496,14.462711029386496,14.462711029386496,0.0,0.0,0.0,80.10798738651792
2023-12-23,62.732413015432925,32.57049355723339,100.7813144043721,62.732413015432925,62.732413015432925,5.076769499996069,5.076769499996069,5.076769499996069,-9.556845680290351,-9.556845680290351,-9.556845680290351,14.633615180286421,14.633615180286421,14.633615180286421,0.0,0.0,0.0,67.809182515429
2023-12-24,62.588673333666605,25.95684374288716,92.7692208848897,62.588673333666605,62.588673333666605,-3.2825542922160587,-3.2825542922160587,-3.2825542922160587,-18.084414818616583,-18.084414818616583,-18.084414818616583,14.801860526400525,14.801860526400525,14.801860526400525,0.0,0.0,0.0,59.30611904145054
2023-12-25,62.44493365190028,45.59370573046618,112.94279670456615,62.44493365190028,62.44493365190028,18.826918194376717,18.826918194376717,18.826918194376717,3.883081394984643,3.883081394984643,3.883081394984643,14.943836799392074,14.943836799392074,14.943836799392074,0.0,0.0,0.0,81.271851846277
2023-12-26,62.30119397013395,54.261713821209234,117.69871361058786,62.30119397013395,62.30119397013395,24.012145903659203,24.012145903659203,24.012145903659203,8.975740760299452,8.975740760299452,8.975740760299452,15.036405143359747,15.036405143359747,15.036405143359747,0.0,0.0,0.0,86.31333987379315
2023-12-27,62.157454288367624,49.55933178669457,115.5070241874571,62.157454288367624,62.157454288367624,21.360185546809223,21.360185546809223,21.360185546809223,6.3025688458537354,6.3025688458537354,6.3025688458537354,15.057616700955487,15.057616700955487,15.057616700955487,0.0,0.0,0.0,83.51763983517685
2023-12-28,62.0137146066013,47.968684500320336,117.47134925836241,62.0137146066013,62.0137146066013,20.69814874959043,20.69814874959043,20.69814874959043,5.710745837866815,5.710745837866815,5.710745837866815,14.987402911723613,14.987402911723613,14.987402911723613,0.0,0.0,0.0,82.71186335619173
2023-12-29,61.86997492483498,46.74528789189833,114.15500342841065,61.86997492483498,61.86997492483498,17.577342342167885,17.577342342167885,17.577342342167885,2.7691236599058073,2.7691236599058073,2.7691236599058073,14.808218682262076,14.808218682262076,14.808218682262076,0.0,0.0,0.0,79.44731726700286
2023-12-30,61.72623524306864,34.854506159737156,99.85875228333532,61.72623524306864,61.72623524306864,4.948775030363526,4.948775030363526,4.948775030363526,-9.556845680288914,-9.556845680288914,-9.556845680288914,14.50562071065244,14.50562071065244,14.50562071065244,0.0,0.0,0.0,66.67501027343216
2023-12-31,61.582495561302316,25.67922439066183,89.94509647536334,61.582495561302316,61.582495561302316,-4.015649970171414,-4.015649970171414,-4.015649970171414,-18.084414818607158,-18.084414818607158,-18.084414818607158,14.068764848435743,14.068764848435743,14.068764848435743,0.0,0.0,0.0,57.5668455911309
2024-01-01,61.43875587953599,43.33646068770835,110.06140638012508,61.43875587953599,61.43875587953599,17.373889818205896,17.373889818205896,17.373889818205896,3.8830813949972423,3.8830813949972423,3.8830813949972423,13.490808423208653,13.490808423208653,13.490808423208653,0.0,0.0,0.0,78.81264569774189
2024-01-02,61.29501619776966,53.30108144016694,116.12211627091706,61.29501619776966,61.29501619776966,21.74494663307432,21.74494663307432,21.74494663307432,8.975740760306126,8.975740760306126,8.975740760306126,12.769205872768195,12.769205872768195,12.769205872768195,0.0,0.0,0.0,83.03996283084399
2024-01-03,61.15127651600334,46.1187724932898,113.97026973842463,61.15127651600334,61.15127651600334,18.208457641413453,18.208457641413453,18.208457641413453,6.302568845862681,6.302568845862681,6.302568845862681,11.905888795550773,11.905888795550773,11.905888795550773,0.0,0.0,0.0,79.3597341574168
2024-01-04,61.007536834237015,42.03257073453638,111.14173501393464,61.007536834237015,61.007536834237015,16.618070369134827,16.618070369134827,16.618070369134827,5.710745837873308,5.710745837873308,5.710745837873308,10.90732453126152,10.90732453126152,10.90732453126152,0.0,0.0,0.0,77.62560720337184
2024-01-05,60.86379715247069,40.15592368340841,107.70386790388625,60.86379715247069,60.86379715247069,12.553574231020443,12.553574231020443,12.553574231020443,2.7691236599195337,2.7691236599195337,2.7691236599195337,9.78445057110091,9.78445057110091,9.78445057110091,0.0,0.0,0.0,73.41737138349113
2024-01-06,60.72005747070436,25.571270998356542,94.41243559013391,60.72005747070436,60.72005747070436,-1.0043603043042038,-1.0043603043042038,-1.0043603043042038,-9.556845680308323,-9.556845680308323,-9.556845680308323,8.55248537600412,8.55248537600412,8.55248537600412,0.0,0.0,0.0,59.715697166400155
2024-01-07,60.57631778893804,16.6587067534597,85.38593762734565,60.57631778893804,60.57631778893804,-10.853795352168792,-10.853795352168792,-10.853795352168792,-18.08441481860097,-18.08441481860097,-18.08441481860097,7.2306194664321755,7.2306194664321755,7.2306194664321755,0.0,0.0,0.0,49.72252243676925
2024-01-08,60.43257810717171,38.12498530129882,101.05613299104469,60.43257810717171,60.43257810717171,9.724675246274776,9.724675246274776,9.724675246274776,3.883081394934694,3.883081394934694,3.883081394934694,5.841593851340082,5.841593851340082,5.841593851340082,0.0,0.0,0.0,70.15725335344648
2024-01-09,60.28883842540538,40.97796132130029,105.24444868908454,60.28883842540538,60.28883842540538,13.386916661694741,13.386916661694741,13.386916661694741,8.975740760307845,8.975740760307845,8.975740760307845,4.411175901386895,4.411175901386895,4.411175901386895,0.0,0.0,0.0,73.67575508710013
2024-01-10,60.14509874363905,38.64303443313596,103.28435178339723,60.14509874363905,60.14509874363905,9.27011440568431,9.27011440568431,9.27011440568431,6.302568845839334,6.302568845839334,6.302568845839334,2.967545559844977,2.967545559844977,2.967545559844977,0.0,0.0,0.0,69.41521314932336
2024-01-11,60.001359061872726,37.07326775372853,100.35997293128366,60.001359061872726,60.001359061872726,7.251353086709785,7.251353086709785,7.251353086709785,5.710745837862211,5.710745837862211,5.710745837862211,1.5406072488475742,1.5406072488475742,1.5406072488475742,0.0,0.0,0.0,67.25271214858252
2024-01-12,59.85761938010641,29.975320317996914,96.34988649136966,59.85761938010641,59.85761938010641,2.930368560615436,2.930368560615436,2.930368560615436,2.7691236599242597,2.7691236599242597,2.7691236599242597,0.16124490069117625,0.16124490069117625,0.16124490069117625,0.0,0.0,0.0,62.78798794072184
2024-01-13,59.71387969834008,16.068217104657865,81.55316571552886,59.71387969834008,59.71387969834008,-10.696306513504195,-10.696306513504195,-10.696306513504195,-9.556845680254753,-9.556845680254753,-9.556845680254753,-1.1394608332494403,-1.1394608332494403,-1.1394608332494403,0.0,0.0,0.0,49.01757318483588
2024-01-14,59.57014001657375,6.923413829047097,71.14070201324009,59.57014001657375,59.57014001657375,-20.415447833842798,-20.415447833842798,-20.415447833842798,-18.08441481859154,-18.08441481859154,-18.08441481859154,-2.331033015251255,-2.331033015251255,-2.331033015251255,0.0,0.0,0.0,39.154692182730955
2024-01-15,59.42640033480742,25.33091201724867,91.87736860887567,59.42640033480742,59.42640033480742,0.49868568021846976,0.49868568021846976,0.49868568021846976,3.8830813949472933,3.8830813949472933,3.8830813949472933,-3.3843957147288233,-3.3843957147288233,-3.3843957147288233,0.0,0.0,0.0,59.92508601502589
2024-01-16,59.282660653041106,30.375792867544583,95.35807122414347,59.282660653041106,59.282660653041106,4.703093433489842,4.703093433489842,4.703093433489842,8.975740760309568,8.975740760309568,8.975740760309568,-4.272647326819727,-4.272647326819727,-4.272647326819727,0.0,0.0,0.0,63.985754086530946
2024-01-17,59.13892097127477,26.91340814993802,92.8907012314035,59.13892097127477,59.13892097127477,1.33077926925318,1.33077926925318,1.33077926925318,6.302568845848283,6.302568845848283,6.302568845848283,-4.971789576595103,-4.971789576595103,-4.971789576595103,0.0,0.0,0.0,60.46970024052795
